group_number,product_tp,credit_seg,fico_grp,SA_SE,used_in_3mth,okr_type,quarter,okr,modified_okr,remark,cohort_type,n_M00,a_lmt_M00,current_pct_bad,reduced_ratio
133,CC,1]NTB,02]FICO,02]SE,ALL,a_lmt_fpd,q2,0.1426537770455442,0.1426537770455442,nan,CP,3907.0,658236000.0,0.15042021402658012,0.9483683956222562
134,CC,1]NTB,02]FICO,02]SE,ALL,a_lmt_fpd,q3,0.13082630652907776,0.13082630652907776,nan,CP,3907.0,658236000.0,0.15042021402658012,0.8697388670512062
135,CC,1]NTB,02]FICO,02]SE,ALL,a_lmt_fpd,q4,0.11875745906329567,0.11875745906329567,nan,CP,3907.0,658236000.0,0.15042021402658012,0.7895046542236042
136,CC,1]NTB,02]FICO,ALL,Y,a_lmt_91pM04,q2,0.07379795694357295,0.07379795694357295,nan,CP,21312.0,1358416000.0,0.07773097490017786,0.9494021789684782
137,CC,1]NTB,02]FICO,ALL,Y,a_lmt_91pM04,q3,0.0675833921483247,0.0675833921483247,nan,CP,21312.0,1358416000.0,0.07773097490017786,0.8694525217921854
138,CC,1]NTB,02]FICO,ALL,Y,a_lmt_91pM04,q4,0.061368827353076444,0.061368827353076444,nan,CP,21312.0,1358416000.0,0.07773097490017786,0.7895028646158924
139,CC,1]NTB,02]FICO,ALL,Y,a_lmt_61pM03,q2,0.07730707432289366,0.07730707432289366,nan,CP,21312.0,1358416000.0,0.08145663773100435,0.9490580077486886
140,CC,1]NTB,02]FICO,ALL,Y,a_lmt_61pM03,q3,0.07082158151057037,0.07082158151057037,nan,CP,21312.0,1358416000.0,0.08145663773100435,0.8694390473670873
141,CC,1]NTB,02]FICO,ALL,Y,a_lmt_61pM03,q4,0.06433608869824707,0.06433608869824707,nan,CP,21312.0,1358416000.0,0.08145663773100435,0.7898200869854859
142,CC,1]NTB,02]FICO,ALL,Y,a_lmt_fpd,q2,0.14160570725083735,0.14160570725083735,nan,CP,21312.0,1358416000.0,0.14931508462797846,0.9483683956222562
143,CC,1]NTB,02]FICO,ALL,Y,a_lmt_fpd,q3,0.12986513253799295,0.12986513253799295,nan,CP,21312.0,1358416000.0,0.14931508462797846,0.8697388670512062
144,CC,1]NTB,02]FICO,ALL,Y,a_lmt_fpd,q4,0.11788495425958033,0.11788495425958033,nan,CP,21312.0,1358416000.0,0.14931508462797846,0.7895046542236042
145,CC,1]NTB,02]FICO,ALL,N,a_lmt_91pM04,q2,0.0,0.0,filled_by_consolidated_okr,CP,28603.0,1603185000.0,0.0,0.9494021789684782
146,CC,1]NTB,02]FICO,ALL,N,a_lmt_91pM04,q3,0.0,0.0,filled_by_consolidated_okr,CP,28603.0,1603185000.0,0.0,0.8694525217921854
147,CC,1]NTB,02]FICO,ALL,N,a_lmt_91pM04,q4,0.0,0.0,filled_by_consolidated_okr,CP,28603.0,1603185000.0,0.0,0.7895028646158924
